Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Jordan Siebatcheu,Centre-Forward,22,Reims,Ligue 1,Stade Rennais,Ligue 1,2018-2019,2500000,9000000
Antonino La Gumina,Centre-Forward,22,US Palermo,Serie B,FC Empoli,Serie A,2018-2019,2000000,9000000
Guido Pizarro,Defensive Midfield,28,Sevilla FC,LaLiga,Tigres UANL,Liga MX Apertura,2018-2019,7500000,8700000
Keno,Left Winger,28,Palmeiras,SÃ©rie A,Pyramids FC,Premier League,2018-2019,3500000,8600000
Alban Lafont,Goalkeeper,19,Toulouse,Ligue 1,Fiorentina,Serie A,2018-2019,18000000,8500000
NicÃ³las GonzÃ¡lez,Centre-Forward,20,Argentinos,Primera DivisiÃ³n,VfB Stuttgart,1.Bundesliga,2018-2019,5000000,8500000
Andriy Lunin,Goalkeeper,19,Zorya Lugansk,Premier Liga,Real Madrid,LaLiga,2018-2019,3500000,8500000
Nordin Amrabat,Left Winger,31,Watford,Premier League,Nasr,Professional League,2018-2019,3000000,8500000
Roger MartÃ­nez,Centre-Forward,24,Villarreal CF,LaLiga,AmÃ©rica,Liga MX Apertura,2018-2019,2500000,8500000
Robin Olsen,Goalkeeper,28,FC Copenhagen,Superligaen,AS Roma,Serie A,2018-2019,2500000,8500000
Hassane BandÃ©,Left Winger,19,KV Mechelen,Proximus League,AFC Ajax,Eredivisie,2018-2019,7500000,8250000
Tanguy NdombÃ©lÃ©,Central Midfield,21,SC Amiens,Ligue 1,Olympique Lyon,Ligue 1,2018-2019,25000000,8000000
Sergi Darder,Central Midfield,24,Olympique Lyon,Ligue 1,Espanyol,LaLiga,2018-2019,11000000,8000000
Kasim Adams,Centre-Back,23,BSC Young Boys,Super League,TSG Hoffenheim,1.Bundesliga,2018-2019,8500000,8000000
Armando Izzo,Centre-Back,26,Genoa,Serie A,Torino,Serie A,2018-2019,8500000,8000000
Cristiano Piccini,Right-Back,25,Sporting CP,Liga NOS,Valencia CF,LaLiga,2018-2019,7500000,8000000
Ignacio Pussetto,Right Winger,22,HuracÃ¡n,Primera DivisiÃ³n,Udinese Calcio,Serie A,2018-2019,7000000,8000000
Chancel Mbemba,Centre-Back,23,Newcastle,Premier League,FC Porto,Liga NOS,2018-2019,6000000,8000000
Samuel Gigot,Centre-Back,24,KAA Gent,Jupiler Pro League,Spartak Moscow,Premier Liga,2018-2019,6000000,8000000
Lukasz Fabianski,Goalkeeper,33,Swansea,Championship,West Ham,Premier League,2018-2019,5000000,8000000
Aden Flint,Centre-Back,28,Bristol City,Championship,Middlesbrough,Championship,2018-2019,5000000,8000000
Christian Cueva,Attacking Midfield,26,SÃ£o Paulo,SÃ©rie A,Krasnodar,Premier Liga,2018-2019,3000000,8000000
MattÃ©o Guendouzi,Central Midfield,19,FC Lorient,Ligue 2,Arsenal,Premier League,2018-2019,2500000,8000000
Jean-Philippe Mateta,Centre-Forward,21,Olympique Lyon,Ligue 1,1.FSV Mainz 05,1.Bundesliga,2018-2019,2500000,8000000
Fran BeltrÃ¡n,Central Midfield,19,Rayo Vallecano,LaLiga,Celta de Vigo,LaLiga,2018-2019,2000000,8000000
