Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Ã‰der,Second Striker,31,Inter,Serie A,JS Suning,Super League,2018-2019,7000000,5700000
AndrÃ© Horta,Central Midfield,21,Benfica,Liga NOS,Los Angeles FC,MLS,2018-2019,6000000,5700000
Paddy McNair,Centre-Back,23,Sunderland,League One,Middlesbrough,Championship,2018-2019,3000000,5700000
JoÃ£o Moutinho,Central Midfield,31,Monaco,Ligue 1,Wolves,Premier League,2018-2019,10000000,5600000
James McClean,Left Winger,29,West Brom,Championship,Stoke City,Championship,2018-2019,3000000,5600000
Vincenzo Grifo,Left Winger,25,Bor. M'gladbach,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2018-2019,7500000,5500000
Fabio Borini,Left Winger,27,Sunderland,League One,AC Milan,Serie A,2018-2019,7000000,5500000
Ishak Belfodil,Second Striker,26,Standard LiÃ¨ge,Jupiler Pro League,TSG Hoffenheim,1.Bundesliga,2018-2019,5500000,5500000
Denzel Dumfries,Right-Back,22,Heerenveen,Eredivisie,PSV Eindhoven,Eredivisie,2018-2019,4000000,5500000
AngeliÃ±o,Left-Back,21,Man City,Premier League,PSV Eindhoven,Eredivisie,2018-2019,3000000,5500000
Fernando,Left Winger,19,Palmeiras,SÃ©rie A,Shakhtar D.,Premier Liga,2018-2019,NA,5500000
Carlos Eduardo,Right Winger,21,GoiÃ¡s EC,SÃ©rie B,Pyramids FC,Premier League,2018-2019,2500000,5200000
Carlos Izquierdoz,Centre-Back,29,Santos Laguna,Liga MX Apertura,Boca Juniors,Primera DivisiÃ³n,2018-2019,3000000,5150000
JesÃºs Gallardo,Left Winger,23,UNAM Pumas,Liga MX Apertura,Monterrey,Liga MX Apertura,2018-2019,3000000,5150000
Rodriguinho,Attacking Midfield,30,Corinthians,SÃ©rie A,Pyramids FC,Premier League,2018-2019,6000000,5100000
Yimmi CharÃ¡,Right Winger,27,Junior FC,Liga Ãguila II,AtlÃ©tico-MG,SÃ©rie A,2018-2019,2500000,5100000
Bryan Cristante,Central Midfield,23,Benfica,Liga NOS,Atalanta,Serie A,2018-2019,25000000,5000000
